This House supports renewed determination towards the total elimination of nuclear weapons, Justice, THS.
This House believes that Corporal punishment should be means for discipline in school, Other, THBT.
This House Believes That medicine should be available without presciption, Econs, THBT.
This House Believes That the DaVinci code cannot be justified, Other, THBT.
This House would set free all the captives of Guantanamo Bay, Justice, THW.
Assuming feasibility  THP a world where all heterosexual couples who want a child flip a coin to decide which partner carries and delivers their baby, Other, THP.
TH as a homosexual person in China W enter into a sham marriage, Other, TH as X.
THBT the environmental movement should take more radical action in the fight against climate change (eg: vandalism  blowing up pipelines  blocking roads), Environment, THBT.
THR the trend of setting debate motions about cultural idioms, Philosophy, THR.
TH hopes that the technology confirms the existence of human spirits, Other, THH.
THP art being viewed as predominantly subjective as opposed to predominantly objective, Other, THP.
THS a narrative that undermines the starving artist narrative, Other, THS.
THBT it is morally permissible to consume the art of an individual regardless of their background, Other, THBT.
THBT Malaysia  Thailand  and Singapore should leave ASEAN to form their own trinational organisation, Politics, THBT.
THW start growing another fruit, Environment, THW.
TH  as China  W grant universal suffrage to Hong Kong, Politics, TH as X.
THS Ulysses Contracts, Philosophy, THS.
"This house would replace ""real world"" prison incarceration with simulated incarceration  for people not sentenced to a life sentence", Justice, THW.
THBT the criminal justice system should not consider retribution as a factor in sentencing, Justice, THBT.
TH  as East Asian nations  R Confucianism as a dominant educational philosophy, Philosophy, TH as X.
THW make personality tests compulsory for university admission, Education, THW.
THW implement an Open Curriculum in secondary schools, Education, THW.
"THR the narrative of ""not settling"" in modern love", Other, THR.
THBT LGBTQ movements in conservative states should use cultural and religious values in their activism, Minorities, THBT.
THP a world without the belief of life after death, Other, THP.
TH  as the Houthi rebels  W reject any negotiations with the Presidential Leadership Council, Politics, TH as X.
THW only imprison individuals who pose a direct and continuing threat to society, Justice, THW.
THBT children should learn history as a unifying national story rather than a criticism of past generations, Education, THBT.
THS America's proposed time ban on Tik Tok, Technology, THS.
THW legalize cryonics in the context of a pandemic, Health, THW.
This House believes that governments should prioritize universal access to healthcare over the protection of intellectual property rights for pharmaceutical companies, Health, THBT.
THBT anticipatory self defense should be recognized under the UN Charter, Justice, THBT.
"THO the "" Leave it to God"" philosophy", Religion, THO.
THBT illegally obtained evidence should be admissable in court, Justice, THBT.
In the context of a post-military dictatorship African society  THP a weak democracy to a benevolent dictatorship, Politics, THP.
TH  as Jean Valjean  W turn himself in to the authorities and save the innocent man as opposed to letting the innocent man be incarcerated, Justice, TH as X.
THBT the EU should create a standing army, Politics, THBT.
Assuming MoD is widely available  TH  as an average 18-year old  W choose to remain ignorant of one's own fate, Other, TH.
THBT Brazil should prioritize relations with China over the USA, Politics, THBT.
THS the use of lustration in newly formed democracies, Justice, THS.
THBT states should prioritise place-based investment over people-based investment when pursuing upliftment of underdeveloped areas of the state, Politics, THBT.
THS the glorification of grit in narratives of success, Other, THS.
THS Nayib Bukele's anti-gang measures, Justice, THS.
"THBT the LGBTQIA+ movement should actively advocate for ""lavender marriages"" in culturally conservative societies", Feminism, THBT.
THW use the Cupid machine to reignite their love for their partner, Other, THW.
THW assume the role of Jesus, Religion, THW.
THBT post-colonial states should actively and significantliy decentralize state control to local tribal authority or regional leaders, Politics, THBT.
This House  as a religious parent in a Western country  would prefer to raise their children in a closed religious community (e.g. an ultra-orthodox community  religious schooling etc.) rather than a mixed/more open community, Religion, TH as X.
THBT social movements should focus largely on constructive narratives (s.a.promoting positive femininity/masculinity  highlighting role models  actively portray asking for consent as socially desirable) over one in which social movements focus on criticism of existing narratives (s.a. criticizing toxic masculinity  criticizing social figures  actively criticize not asking for consent), Feminism, THBT.
THR the secession of Belgium from the Netherlands, Politics, THR.
THW make all criminal records and trials confidential, Justice, THW.
THW implement the Fair Play package in all professional sports leagues, Sports, THW.
THP a world in which the Memory Machine exists, Other, THP.
THBT leaders in recently established developing nations should strive to establish Jante as a core cultural foundation of their nations, Other, THBT.
THW aggressively slow down the AI revolution, Technology, THW.
THP a world where Africa nations would actively pursue trade and aid deals with China at the expense of such deals with the US, Politics, THP.
"Assuming that upon encountering a stranger  one can know exactly how a relationship will end  THW live in a world with closure-at-first-sight""", Other, THW.
THBT all states should create special economic zones in cities  where all economic activities (except the purchase of goods and services) are carried out by women, Other, THBT.
TH prefers a world where all children are raised in well-run state facilities rather than in individual families, Other, THP.
THS the use of blind voting in national elections, Politics, THS.
"THR the dominant narrative of ""individual environmental responsibility” in environmental campaigns", Environment, THR.
THS the Death of the Author theory being applied to our consumption choices, Other, THS.
"THS nations marketing themselves as destinations for ""good time tourism""", Other, THS.
Assuming feasibility  THW eliminate veto status in the UN Security Council and equalize voting, Politics, THW.
TH  as an individual  W never forgive their partner for cheating, Other, TH as X.
TH  as the art community  R the rise of NFTs, Other, TH as X.
